id,file_id,circle,cmp,uid,year,week,ticket_no,parent_ticket,cmm_name,link_name,span_name,vendor_tt,fibre_owner,construction_type,impact,affected_service,reason,event_date,reported_to_fibre_noc,informed_date,etr,cleared_date,status,resolution,fault_description,mttr,mttn,delay_reason,inter_intra_bin,zone,bucket,transport_ip_bin,restoration_status,span_id,workorder,sp_name,rca_cause_code,reason_high_mttr,day,month,week_name,ttr_percentage,created_at,report_date,original_file_name,total_records
10298,68,UP East,Allahabad,2024WK-49'24,2024,WK-49'24,IM290130311,0,,I-UE-ABDD-ENB-6121,I-UE-ABDD-ENB-0191,,OWN,O & M,N.S.A,CSS - CSS,Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,Restored by single joint,"high loss IM290130310
PR TBFC_P1 - Interface down Affected:2 [DOWN:0,THREAT:2] CSS_CSS: IPOF : between I-UE-ABDD-ENB-6121 ABDDPHMUESR002-Te0/0/0/24-Te0/0/0/24 and I-UE-ABDD-ENB-0191 ABDDTHPRESR002-Te0/0/0/25-Te0/0/0/25[Phaphamau Rly. Stn and ] CMP -  Allahabad  since 2024-11-26 19:25:30.0 ; 
@ DOWN[], THREAT[], Linked_Tickets:[LINK1: UE-40336666-MI],spur:'0',,is_fork:0,fork_parent_information:None,spur_media_type:None,parent : ['hostname' = 'ABDDPHMUESR002','sap_id' = 'I-UE-ABDD-ENB-6121','interface_name' = 'Te0/0/0/24','port' = 'Te0/0/0/24','link' = 'ABDDPHMUESR002_ABDDTHPRESR002','link_no' = 15294251],path_information : (P1 = (ticket_id = 40336666,link = ABDDPHMUESR002_ABDDTHPRESR002,ticket_type = THREAT,down_type = LINK,outage_start_time = 2024-11-26 19:25:30,outage_created_time = 2024-11-26 19:27:05)),TBFCKEY_40336666, #IFDOWN-CSS_CSS_IPOF#,ticket_nature : IPOF",63.66,00:13,,Intracity,North,OWN,Intracity IP Access,Permanent,INUEABDDPHMUTW6001ENBESR001,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR>4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10299,68,UP East,Allahabad,2024WK-49'24,2024,WK-49'24,IM290356149,0,,I-UE-ABDD-ENB-A028,I-UE-ABDD-AG2-0002,,OWN,O & M,N.S.A,AG2-OLTE (FTTX),Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,Restored by single joint,"Multiple_Fiber Cut Between AG2 to OLT: IPOF : | INUEABDDRHMTTW6002ENBOLT001_NT-A:SFP-2 | I-UE-ABDD-ENB-A028 | 10.1.177.172 | Roshan Bagh and INUEABDDBHNPNB0001MA2AAR001_TENGIGE0/2/1/3 | I-UE-ABDD-AG2-0002 | 49.44.3.36 | Mumfordganj
[Link 1:INUEABDDRHMTTW6002ENBOLT001_NT-A:SFP-2 | I-UE-ABDD-ENB-A028 | 10.1.177.172 | Roshan Bagh and INUEABDDBHNPNB0001MA2AAR001_TENGIGE0/2/1/3 | I-UE-ABDD-AG2-0002 | 49.44.3.36 | Mumfordganj,  Link 2:INUEABDDNBRHNB0002ENBOLT001_NT-A:SFP-2 | I-UE-ABDD-ENB-0457 | 10.1.169.204 | KYDGANJ and INUEABDDBHNPNB0001MA2AAR001_TENGIGE0/3/1/4 | I-UE-ABDD-AG2-0002 | 49.44.3.36 | Mumfordganj,  Link 3:INUEABDDZERDNB1756FSAOLT001_NT-A:SFP-2 | I-UE-ABDD-FSA-0152 | 10.1.182.132 | NA and INUEABDDBHNPNB0001MA2AAR001_TENGIGE0/2/1/19 | I-UE-ABDD-AG2-0002 | 49.44.3.36 | Mumfordganj]
 Loss of signal on nt-a:xfp:2 | Site Friendly Name :: Roshan Bagh | SAP ID :: I-UE-ABDD-ENB-A028 | INUEABDDRHMTTW6002ENBOLT001
 Customer on Threat :: 2174 and Enterprise customer on threat= 4 
CorrelatedAlarms :di_n_fttx_nokia:2111584135#2111584619#2111584862",12.21,00:12,,Intercity,North,OWN,Intercity IP Core,Temporary,INUEABDDRHMTTW6002ENBOLT001,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR>4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10300,68,UP East,Varanasi,2024WK-49'24,2024,WK-49'24,IM290399701,0,,I-UE-PATT-ILA-9069,I-UE-JNPR-JCN-6000,,OWN,O & M,N.S.A,AG1 - AG1,Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,Restored by double joint,"Call form Mr. Sivam- 917376915024//For CMP change to Varanasi //Approved by Infra Engineer Fiber	Pintu Kumar	7307083813//Interface down AG1_AG1 Total :1,10G:1,100G:0,400G:0: IPOF : between I-UE-PATT-ILA-9069 and I-UE-JNPR-JCN-6000[Th-patti & Jaunpur MCN ] since 2024-11-28 17:14:49.0
 PR ALARM : Interface down AG1_AG1 SO6-NA Total :1,10G:1,100G:0,400G:0 Rg:N Between Site : PATTPATTPAR002 port TenGigabitEthernet0/0/0; AND JNPRBLUGPAR001 port TenGigE0/0/0/0-Fiber  14497828;MaintenancePoint - Allahabad;SAPID - I-UE-PATT-ILA-9069;DESTINATION_SAPID - I-UE-JNPR-JCN-6000
PATTPATTPAR002/TenGigabitEthernet0/0/0
JNPRBLUGPAR001/TenGigE0/0/0/0",14.5,00:09,Others,Intercity,North,OWN,Intercity IP Core,Temporary,INUEPATTXXXXTW0007IA1PAR001,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR>4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10301,68,Delhi,Gurgaon (NCR),2024WK-49'24,2024,WK-49'24,IM290417773,0,,Delhi#2-Jaipur Path 1,Delhi#2 (Vikaspuri)-Gurgaon Sec 4,,OWN,O & M,N.S.A,Core- Coll- MC- POI- RFMS,Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,Restored by double joint,.,7.45,00:09,Access issue,Intercity,North,OWN,Transport,Permanent,DLDLHIDLGRGNSPQ001_BU,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR>4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10302,68,UP East,Allahabad,2024WK-49'24,2024,WK-49'24,IM290421735,0,,I-UE-ABDD-ENB-0700,I-UE-ABDD-ENB-0618,,OWN,O & M,N.S.A,CSS - CSS,Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,Restored by single joint,"Jata shankar +918887532098, Own Fiber, SJ, OTDR 2 km from I-UE-ABDD-ENB-0700, Cut due to Road expansion work

PR TBFC_P1 - Interface down Affected:5 [DOWN:0,THREAT:5] CSS_CSS: IPOF : between I-UE-ABDD-ENB-0700 ABDDKILSESR002-BD354-TenGigabitEthernet0/0/10 and I-UE-ABDD-ENB-0618 ABDDRJVNESR004-BD355-TenGigabitEthernet0/0/11[Teliyarganj and ] CMP -  Allahabad  since 2024-11-28 21:23:03.0 ; 
@ DOWN[], THREAT[], Linked_Tickets:[LINK1: UE-40360252-MI],spur:'0',,is_fork:0,fork_parent_information:None,spur_media_type:None,parent : ['hostname' = 'ABDDKILSESR002','sap_id' = 'I-UE-ABDD-ENB-0700','interface_name' = 'BD354','port' = 'TenGigabitEthernet0/0/10','link' = 'ABDDKILSESR002_ABDDRJVNESR004','link_no' = 21918527],path_information : (P1 = (ticket_id = 40360252,link = ABDDKILSESR002_ABDDRJVNESR004,ticket_type = THREAT,down_type = LINK,outage_start_time = 2024-11-28 21:23:03,outage_created_time = 2024-11-28 21:25:04)),TBFCKEY_40360252, #IFDOWN-CSS_CSS_IPOF#,ticket_nature : IPOF",15.35,00:11,,Intracity,North,OWN,Intracity IP Access,Permanent,INUEABDDKILSNB0002ENBESR001,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR>4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10303,68,UP East,Allahabad,2024WK-49'24,2024,WK-49'24,IM290443049,0,,I-UE-SORN-ENB-T003,I-UE-SORN-ENB-6004,,OWN,O & M,N.S.A,CSS - CSS,Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,Restored by double joint,"PR TBFC_P1 - Interface down Affected:29 [DOWN:0,THREAT:29] CSS_CSS: IPOF : between I-UE-SORN-ENB-T003 SORNSORNESR020-Te0/0/0/25-Te0/0/0/25 and I-UE-SORN-ENB-6004 SORNSORNESR007-BD354-TenGigabitEthernet0/0/10[Aulda and ] CMP -  Allahabad  since 2024-11-29 02:57:20.0 ; 
@ DOWN[], THREAT[], Linked_Tickets:[LINK1: UE-40361902-MJ],spur:'0',,is_fork:0,fork_parent_information:None,spur_media_type:None,parent : ['hostname' = 'SORNSORNESR020','sap_id' = 'I-UE-SORN-ENB-T003','interface_name' = 'Te0/0/0/25','port' = 'Te0/0/0/25','link' = 'SORNSORNESR020_SORNSORNESR007','link_no' = 16492508],path_information : (P1 = (ticket_id = 40361902,link = SORNSORNESR020_SORNSORNESR007,ticket_type = THREAT,down_type = LINK,outage_start_time = 2024-11-29 02:57:20,outage_created_time = 2024-11-29 02:59:05)),TBFCKEY_40361902, #IFDOWN-CSS_CSS_IPOF#,ticket_nature : IPOF",4.85,00:11,,Intracity,North,OWN,Intracity IP Access,Permanent,INUESORNXXXXTW6013ENBESR001,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR>4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10304,68,Punjab,Jalandhar,2024WK-49'24,2024,WK-49'24,IM290444826,0,,I-PB-JLDR-ENB-6037,I-PB-JLDR-AG1-4411,,OWN,O & M,N.S.A,AG1 - AG1,Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,High Ageing,"Interface down AG1_AG1 Total :1,10G:1,100G:0,400G:0: IPOF : between I-PB-JLDR-ENB-6037 and I-PB-JLDR-AG1-4411[BASTI BABA KHEL & Jallandhar ] since 2024-11-29 03:37:17.0
 PR ALARM : Interface down AG1_AG1 SO6-CO Total :1,10G:1,100G:0,400G:0 Rg:N Between Site : JLDRRJNGPAR001 port TenGigabitEthernet0/4/0; AND JLDRJLWAPAR001 port TE0/4/0 ETH;MaintenancePoint - Jalandhar;SAPID - I-PB-JLDR-ENB-6037;DESTINATION_SAPID - I-PB-JLDR-AG1-4411
JLDRRJNGPAR001/TenGigabitEthernet0/4/0
JLDRJLWAPAR001/TenGigabitEthernet0/4/0",1.1,00:08,,Intercity,North,OWN,Intercity IP Core,,INPBJLDRRJNGTW6001MA1PAR001,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR<4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10305,68,UP East,Gorakhpur,2024WK-49'24,2024,WK-49'24,IM290457355,0,,I-UE-GKPR-ENB-0444,I-UE-GKPR-ENB-0104,,OWN,O & M,N.S.A,AG2-OLTE (FTTX),Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,High Ageing,"Fiber Cut Between OLT to OLT: IPOF : | INUEGKPRBUDBTW0001ENBOLT001_NT-A:SFP-1 | I-UE-GKPR-ENB-0444 | 10.1.179.124 | Taramandal and INUEGKPRMHDVTW0001ENBOLT001_NT-A:XFP:2 | I-UE-GKPR-ENB-0104 | 10.1.182.148 | NA
[Link 1:INUEGKPRBUDBTW0001ENBOLT001_NT-A:SFP-1 | I-UE-GKPR-ENB-0444 | 10.1.179.124 | Taramandal and INUEGKPRMHDVTW0001ENBOLT001_NT-A:XFP:2 | I-UE-GKPR-ENB-0104 | 10.1.182.148 | NA,  Link 2:INUEGKPRMHDVTW0001ENBOLT001_NT-A:SFP-2 | I-UE-GKPR-ENB-0104 | 10.1.182.148 | NA and INUEGKPRBUDBTW0001ENBOLT001_NT-A:XFP:1 | I-UE-GKPR-ENB-0444 | 10.1.179.124 | Taramandal]
 Loss of signal on nt-a:xfp:1 | Site Friendly Name :: Taramandal | SAP ID :: I-UE-GKPR-ENB-0444 | INUEGKPRBUDBTW0001ENBOLT001
 Customer on Threat :: 1198 and Enterprise customer on threat= 8 
CorrelatedAlarms :di_n_fttx_nokia:2113274182#2113274607",1.36,00:12,,Intercity,North,OWN,Intercity IP Core,Permanent,INUEGKPRBUDBTW0001ENBOLT001,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR<4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10306,68,UP East,Allahabad,2024WK-49'24,2024,WK-49'24,IM290469596,0,,I-UE-PCRA-ILA-0001,I-UE-BRAA-ILA-0001,,OWN,O & M,N.S.A,AG1 - AG1,Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,Restored by single joint,"LINK_DOWN | PCRAPCRAPAR001/TenGigabitEthernet0/2/1 | Port TenGigabitEthernet0/2/1 Description:  # TO-BRAABRAAPAR002-TenGE0/0/1-Fiber ## 10487628 ## is down on device 2405:200:204:138:172:16:65:87.:Lost Carrier | LINK_DOWN:2405:200:204:138:172:16:65:87:If: TenGigabitEthernet0/2/1##SubAlarm@@_1 #*# NA
MTTN chnaged by Vikas1.jain",5.73,00:05,,Intercity,North,OWN,Intercity IP Core,Permanent,INUEPCRAXXXXCR0001IA1PAR001,1.00E+11,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR>4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
10307,68,UP East,Azamgarh,2024WK-49'24,2024,WK-49'24,IM290483556,0,,Ghazipur-Varanasi JCN RCN,Gazipur-Saidpur RCN,,OWN,O & M,N.S.A,Collector,Fibre Cut,0000-00-00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,Resolved,Restored by double joint,uptime changed,4.57,00:07,Others,Intercity,North,OWN,Transport,Permanent,UESIDPUEGZPRSPQ001_BU,TBD,SGEPL,,,11/29/24,Nov-24,WK-49'24,TTR>4Hrs,23-05-2026 05:56,22-05-2026,NULL,0
